id,plot,img_name,Mach_Count,Pan_Count,Reg_Count,Spr_Count,Spr_Count_Adj
4037_P4,4037-Macia,13. P4-WOF-Fr.jpg,2308,1339,2230,2150,2153
4045_P1,4045-BTx615,1. P1-WOF-Fr.jpg,1495,1046,1810,1582,1564
4045_P2,4045-BTx615,5. P2-WOF-Fr.jpg,1113,750,1512,1329,1342
4045_P3,4045-BTx615,9. P3-WOF-Fr.jpg,1715,1161,1761,1849,2180
4045_P4,4045-BTx615,13. P4-WOF-Fr.jpg,915,948,1578,1253,1119
4049_P1,4049-B10001,1. P1-WOF-Fr.jpg,2023,1323,1528,2068,2118
4049_P2,4049-B10001,5. P2-WOF-Fr.jpg,1842,1053,923,2203,1889
4049_P3,4049-B10001,9. P3-WOF-Fr.jpg,1932,1184,1362,1930,1590
4049_P4,4049-B10001,13. P4-WOF-Fr.jpg,1592,1204,1290,2242,1678
4053_P2,4053-SC35-14E,5. P2-WOF-Fr.jpg,197,629,1230,576,460
4053_P3,4053-SC35-14E,9. P3-WOF-Fr.jpg,276,663,1136,342,1023
4053_P4,4053-SC35-14E,13. P4-WOF-Fr.jpg,185,576,1226,217,397
4057_P1,4057-SC326-6,1. P1-WOF-Fr.jpg,2688,1432,1870,2753,2716
4057_P2,4057-SC326-6,5. P2-WOF-Fr.jpg,2732,1700,2175,2647,2686
4057_P3,4057-SC326-6,9. P3-WOF-Fr.jpg,2409,947,1648,2554,2167
4057_P4,4057-SC326-6,13. P4-WOF-Fr.jpg,2493,1069,1601,2579,2716
4061_P1,4061-KS19,1. P1-WOF-Fr.jpg,965,615,1053,1113,1282
4061_P2,4061-KS19,5. P2-WOF-Fr.jpg,1151,1179,1233,1119,1455
4061_P3,4061-KS19,9. P3-WOF-Fr.jpg,1297,866,1438,1111,1235
4061_P4,4061-KS19,13. P4-WOF-Fr.jpg,995,656,1053,1063,1443
4065_P1,4065-M10P0052_BTx623,1. P1-WOF-Fr.jpg,1000,1286,1478,1335,871
4065_P2,4065-M10P0052_BTx623,5. P2-WOF-Fr.jpg,1260,1061,1396,1433,1510
4065_P3,4065-M10P0052_BTx623,9. P3-WOF-Fr.jpg,971,1074,1368,877,1583
4065_P4,4065-M10P0052_BTx623,13. P4-WOF-Fr.jpg,1153,1185,1611,1330,1091
4069_P1,4069-Tx7000,1. P1-WOF-Fr.jpg,1643,1489,1658,1808,1612
4069_P2,4069-Tx7000,5. P2-WOF-Fr.jpg,1976,1685,1985,1842,2044
4069_P3,4069-Tx7000,9. P3-WOF-Fr.jpg,2013,1581,1939,2088,1953
4069_P4,4069-Tx7000,13. P4-WOF-Fr.jpg,1470,1503,1740,1587,1257
4073_P1,4073-BTx642_Tx7000,1. P1-WOF-Fr.jpg,1458,1330,1584,1330,1579
4073_P2,4073-BTx642_Tx7000,5. P2-WOF-Fr.jpg,1269,1203,1565,1471,1179
4073_P3,4073-BTx642_Tx7000,9. P3-WOF-Fr.jpg,1176,1204,1437,1430,1412
4073_P4,4073-BTx642_Tx7000,13. P4-WOF-Fr.jpg,1373,1357,1746,1712,1301
5005_P1,5005-SC35_14E,1. P1-WOF-Fr.jpg,1040,567,1162,1411,1161
5005_P2,5005-SC35_14E,5. P2-WOF-Fr.jpg,1258,799,1169,1105,1423
5005_P3,5005-SC35_14E,9. P3-WOF-Fr.jpg,1243,813,1610,1182,1379
