plot,id,img_name,Mach_Count,Spr_Count_Adj
2065-SC56,2065_P2,5. P2-WOF-Fr.jpg,740,971
2065-SC56,2065_P3,9. P3-WOF-Fr.jpg,1336,1054
2065-SC56,2065_P4,13. P4-WOF-Fr.jpg,1124,996
2069-6085-9,2069_P1,1. P1-WOF-Fr.jpg,2057,2136
2069-6085-9,2069_P2,5. P2-WOF-Fr.jpg,1611,1852
2069-6085-9,2069_P3,9. P3-WOF-Fr.jpg,2334,2376
2069-6085-9,2069_P4,13. P4-WOF-Fr.jpg,1274,1378
2073-SC328,2073_P1,1. P1-WOF-Fr.jpg,1757,1768
2073-SC328,2073_P2,5. P2-WOF-Fr.jpg,1864,1621
2073-SC328,2073_P3,9. P3-WOF-Fr.jpg,1832,1748
2073-SC328,2073_P4,13. P4-WOF-Fr.jpg,2084,2025
3029-KS19,3029_P1,1. P1-WOF-Fr.jpg,1013,1388
3029-KS19,3029_P2,5. P2-WOF-Fr.jpg,1118,1334
3029-KS19,3029_P3,9. P3-WOF-Fr.jpg,1001,798
3029-KS19,3029_P4,13. P4-WOF-Fr.jpg,758,1011
3033-P898012,3033_P2,5. P2-WOF-Fr.jpg,1001,1081
3033-P898012,3033_P4,13. P4-WOF-Fr.jpg,1064,1077
3037-RTx430,3037_P1,1. P1-WOF-Fr.jpg,1015,1298
3037-RTx430,3037_P2,5. P2-WOF-Fr.jpg,1392,1718
3037-RTx430,3037_P3,9. P3-WOF-Fr.jpg,852,1219
3037-RTx430,3037_P4,13. P4-WOF-Fr.jpg,1669,1579
3041-B4R_BTx406_Rio,3041_P1,1. P1-WOF-Fr.jpg,1753,1762
3041-B4R_BTx406_Rio,3041_P2,5. P2-WOF-Fr.jpg,1705,1851
3041-B4R_BTx406_Rio,3041_P3,9. P3-WOF-Fr.jpg,1408,1721
3041-B4R_BTx406_Rio,3041_P4,13. P4-WOF-Fr.jpg,2162,2090
3045-SC283,3045_P1,1. P1-WOF-Fr.jpg,633,796
3045-SC283,3045_P2,5. P2-WOF-Fr.jpg,1000,932
3045-SC283,3045_P3,9. P3-WOF-Fr.jpg,1010,922
3045-SC283,3045_P4,13. P4-WOF-Fr.jpg,486,870
3049-BTx2752,3049_P1,1. P1-WOF-Fr.jpg,2072,2387
3049-BTx2752,3049_P2,5. P2-WOF-Fr.jpg,1743,1802
3049-BTx2752,3049_P3,9. P3-WOF-Fr.jpg,2191,2420
3053-SC964,3053_P1,1. P1-WOF-Fr.jpg,1651,1810
3053-SC964,3053_P2,5. P2-WOF-Fr.jpg,813,861
3053-SC964,3053_P3,9. P3-WOF-Fr.jpg,1808,1949
3053-SC964,3053_P4,13. P4-WOF-Fr.jpg,1441,1865
3057-1790E_SC56_SC33,3057_P1,1. P1-WOF-Fr.jpg,494,703
3057-1790E_SC56_SC33,3057_P2,5. P2-WOF-Fr.jpg,567,1097
3057-1790E_SC56_SC33,3057_P3,9. P3-WOF-Fr.jpg,714,368
3057-1790E_SC56_SC33,3057_P4,13. P4-WOF-Fr.jpg,618,989
3061-RTx2536,3061_P1,1. P1-WOF-Fr.jpg,2725,2705
3061-RTx2536,3061_P2,5. P2-WOF-Fr.jpg,1917,1910
3061-RTx2536,3061_P3,9. P3-WOF-Fr.jpg,1948,2017
3061-RTx2536,3061_P4,13. P4-WOF-Fr.jpg,1909,1556
3065-RTx430,3065_P1,1. P1-WOF-Fr.jpg,699,847
3065-RTx430,3065_P2,5. P2-WOF-Fr.jpg,1090,1312
3065-RTx430,3065_P3,9. P3-WOF-Fr.jpg,1033,1492
3065-RTx430,3065_P4,13. P4-WOF-Fr.jpg,1650,1628
3069-BTx2752,3069_P1,1. P1-WOF-Fr.jpg,2776,2566
