id,plot,img_name,Mach_Count,Pan_Count,Reg_Count
5013_P3,5013-RTx2536,9. P3-WOF-Fr.jpg,1940,1366,1839
5013_P4,5013-RTx2536,13. P4-WOF-Fr.jpg,1800,1179,1619
5017_P1,5017BTx623_DW1,1. P1-WOF-Fr.jpg,1179,1052,1602
5017_P2,5017BTx623_DW1,5. P2-WOF-Fr.jpg,812,897,1708
5017_P3,5017BTx623_DW1,9. P3-WOF-Fr.jpg,1090,952,1592
5017_P4,5017BTx623_DW1,13. P4-WOF-Fr.jpg,1037,1034,1532
5021_P1,5021-96CD635,1. P1-WOF-Fr.jpg,2043,1364,1656
5021_P2,5021-96CD635,5. P2-WOF-Fr.jpg,1395,1031,1444
5021_P3,5021-96CD635,9. P3-WOF-Fr.jpg,1584,1157,1507
5021_P4,5021-96CD635,13. P4-WOF-Fr.jpg,1451,1028,1560
5025_P1,5025-BTx642_Tx7000NILStg1,1. P1-WOF-Fr.jpg,1814,1452,1669
5025_P2,5025-BTx642_Tx7000NILStg1,5. P2-WOF-Fr.jpg,1694,1278,1515
5025_P3,5025-BTx642_Tx7000NILStg1,9. P3-WOF-Fr.jpg,1664,1208,1270
5025_P4,5025-BTx642_Tx7000NILStg1,13. P4-WOF-Fr.jpg,2368,1481,1672
5029_P1,5029-RLBF1,1. P1-WOF-Fr.jpg,1394,1504,1721
5029_P2,5029-RLBF1,5. P2-WOF-Fr.jpg,973,1038,1205
5029_P3,5029-RLBF1,9. P3-WOF-Fr.jpg,1364,1444,1548
5029_P4,5029-RLBF1,13. P4-WOF-Fr.jpg,1721,1259,1540
5033_P1,5033-SC1154-14E,1. P1-WOF-Fr.jpg,587,331,1174
5033_P2,5033-SC1154-14E,5. P2-WOF-Fr.jpg,597,458,1313
5033_P3,5033-SC1154-14E,9. P3-WOF-Fr.jpg,346,293,1140
5033_P4,5033-SC1154-14E,13. P4-WOF-Fr.jpg,461,349,1327
5037_P1,5037-Tx7000,1. P1-WOF-Fr.jpg,1559,1285,1354
5037_P2,5037-Tx7000,5. P2-WOF-Fr.jpg,1707,1641,1896
5037_P3,5037-Tx7000,9. P3-WOF-Fr.jpg,2394,1557,1890
5037_P4,5037-Tx7000,13. P4-WOF-Fr.jpg,1717,1952,1978
5041_P1,5041-BTx623,1. P1-WOF-Fr.jpg,1186,824,1458
5041_P2,5041-BTx623,5. P2-WOF-Fr.jpg,1275,967,1773
5041_P3,5041-BTx623,9. P3-WOF-Fr.jpg,2489,1342,1990
5041_P4,5041-BTx623,13. P4-WOF-Fr.jpg,1261,784,1573
5045_P1,5045-6085-9,1. P1-WOF-Fr.jpg,1763,1459,1662
5045_P2,5045-6085-9,5. P2-WOF-Fr.jpg,1070,955,1259
5045_P3,5045-6085-9,9. P3-WOF-Fr.jpg,1254,1076,1397
5045_P4,5045-6085-9,13. P4-WOF-Fr.jpg,1734,1455,1582
5049_P1,5049-96CD635,1. P1-WOF-Fr.jpg,1332,884,1359
5049_P2,5049-96CD635,5. P2-WOF-Fr.jpg,1798,1477,1794
5049_P3,5049-96CD635,9. P3-WOF-Fr.jpg,945,893,1678
5049_P4,5049-96CD635,13. P4-WOF-Fr.jpg,1948,1381,1912
5053_P1,5053-96CD635,1. P1-WOF-Fr.jpg,1604,1205,1557
5053_P2,5053-96CD635,5. P2-WOF-Fr.jpg,2138,1481,1795
5053_P3,5053-96CD635,9. P3-WOF-Fr.jpg,1482,1191,1760
5053_P4,5053-96CD635,13. P4-WOF-Fr.jpg,2162,1382,2046
5057_P1,5057-Tx2882,1. P1-WOF-Fr.jpg,971,1154,1635
5057_P2,5057-Tx2882,5. P2-WOF-Fr.jpg,855,879,1360
5057_P3,5057-Tx2882,9. P3-WOF-Fr.jpg,1094,1169,1210
5057_P4,5057-Tx2882,13. P4-WOF-Fr.jpg,1093,973,1384
5061_P1,5061-BTx623,1. P1-WOF-Fr.jpg,1308,1137,1765
5061_P2,5061-BTx623,5. P2-WOF-Fr.jpg,1173,1006,1500
5061_P3,5061-BTx623,9. P3-WOF-Fr.jpg,1424,1562,1982
5061_P4,5061-BTx623,13. P4-WOF-Fr.jpg,1259,1402,1965
5069_P1,5069-RTx436,1. P1-WOF-Fr.jpg,2923,1556,2080
5069_P2,5069-RTx436,5. P2-WOF-Fr.jpg,2466,1537,2103
5069_P3,5069-RTx436,9. P3-WOF-Fr.jpg,2872,1453,1995
5069_P4,5069-RTx436,13. P4-WOF-Fr.jpg,2674,1372,2031
5073_P1,5073-B4R_BTx406_Rio,1. P1-WOF-Fr.jpg,2104,1317,1909
5073_P2,5073-B4R_BTx406_Rio,5. P2-WOF-Fr.jpg,1614,910,1426
5073_P3,5073-B4R_BTx406_Rio,9. P3-WOF-Fr.jpg,1751,995,1828
5073_P4,5073-B4R_BTx406_Rio,13. P4-WOF-Fr.jpg,1536,855,1485
6005_P1,6005-BTx623,1. P1-WOF-Fr.jpg,3765,900,2063
